Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-10 09:58:33	 781 	c1254 	1673 	 93 	 01111000 	 120 	 262544 	 69	 111	 100	 190	 8	 190	 
2019-05-10 09:59:13	 316 	c1254 	1674 	 101 	 01110100 	 116 	 708440 	 69	 111	 101	 190	 8	 191	 
2019-05-10 09:59:20	 571 	c1254 	1675 	 107 	 01111000 	 120 	 786728 	 69	 111	 101	 191	 8	 191	 
2019-05-10 09:59:39	  63 	c1254 	1677 	 117 	 10110100 	 180 	 987992 	 69	 112	 101	 191	 8	 192	 
2019-05-10 09:59:43	 307 	c1254 	1678 	 123 	 01111000 	 120 	 1033664 	 69	 112	 101	 192	 8	 192	 
2019-05-10 10:00:03	 298 	c1254 	1679 	 129 	 10110100 	 180 	 1250456 	 69	 113	 101	 192	 8	 193	 
2019-05-10 10:00:15	 128 	c1254 	1680 	 135 	 10111000 	 184 	 1379000 	 69	 113	 101	 192	 9	 193	 
2019-05-10 10:00:34	  74 	c1254 	1681 	 140 	 11110100 	 244 	 1584560 	 70	 113	 101	 192	 9	 193	 
2019-05-10 10:00:39	1139 	c1254 	1682 	 146 	 01111000 	 120 	 1648808 	 70	 113	 101	 193	 9	 193	 
2019-05-10 10:01:06	 826 	c1254 	1683 	 154 	 10110100 	 180 	 1938704 	 70	 114	 101	 193	 9	 194	 
2019-05-10 10:01:18	 484 	c1254 	1685 	 162 	 01111000 	 120 	 2065664 	 70	 114	 101	 194	 9	 194	 
2019-05-10 10:01:51	 126 	c1254 	1688 	 182 	 10110100 	 180 	 2420360 	 70	 115	 101	 194	 9	 195	 
2019-05-10 10:01:58	1141 	c1254 	1689 	 188 	 01111000 	 120 	 2505848 	 70	 115	 101	 195	 9	 195	 
2019-05-10 10:04:51	 814 	c1254 	1690 	 194 	 10110100 	 180 	 4379384 	 70	 116	 101	 195	 9	 196	 
2019-05-10 10:04:55	 179 	c1254 	1692 	 202 	 01110100 	 116 	 4416800 	 70	 116	 102	 195	 9	 197	 
2019-05-10 10:04:58	 236 	c1254 	1693 	 206 	 10101000 	 168 	 4449896 	 71	 116	 102	 195	 9	 197	 
2019-05-10 13:15:46	 635 	c1254 	1694 	 211 	 10101000 	 168 	 11775328 	 72	 116	 102	 195	 9	 197	 
2019-05-10 13:22:12	 762 	c1254 	1697 	 219 	 10101000 	 168 	 16008616 	 73	 116	 102	 195	 9	 197	 
